Park,PlotID,Date,Observers,GroundCover,VegetationLevels,PastLandUse,Coordinates,Temperature,DensiometerN,DensiometerS,DensiometerE,DensiometerW,Comments,Park size,Established,Park age,Conservation area,Complexity
Bois-de-Saraguay,FOR3-LOW03,08/04/2022,"IR,EP,LG","dirt path, leaf litter, herbaceous vegetation ","shrub, overstory, understory",Forested ,"45°30.955'N, 073°43.921'W","23°C, raining/overcast ",13,44,19,6,Moved sensor at 13h42,86,1987,35,Y,3
Bois-de-Saraguay,FOR3-LOW04,08/04/2022,"IR,EP,LG",Herbaceous vegetation,overstory,Forested ,"45°30.872'N, 073°44.211'W","23°C, Overcast",61,20,55,58,,86,1987,35,Y,1
Bois-de-Saraguay,FOR3-LOW05,08/04/2022,"IR,EP,LG","Herbaceous vegetation, gravel path ","shrub, overstory, understory",Forested ,"45°30.919'N, 073°44.124'W","22°C, Overcast ",8,18,58,72,,86,1987,35,Y,3
Bois-de-Saraguay,FOR3-MED03,08/04/2022,"IR,EP,LG","leaf litter, bare soil, berbaceous vegetation","shrub, overstory, understory",Forested ,"45°30.930'N, 073°44.073'W","22°C, Overcast ",77,84,81,87,,86,1987,35,Y,3
Bois-de-Saraguay,FOR3-MED04,08/04/2022,"IR,EP,LG","Leaf litter, herbaceous vegetation ","shrub, overstory, understory",Forested ,"45°31.068'N, 073°44.558'W","22°C, Overcast",81,88,91,81,,86,1987,35,Y,3
Bois-de-Saraguay,FOR3-MED05,08/04/2022,"IR,EP,LG","Gravel path, herbaceous vegetation","shrub, overstory, understory",Forested ,"45°30.910'N, 073°44.234'W","22°C, Overcast ",78,76,81,61,,86,1987,35,Y,3
Boisé-de-Saint-Sulpice,FOR4-HIGH02,08/18/2022,"EP,LG","low vegetation, dirt path","shrub, overstory, understory",Forested ,"45°33.246'N, 073°38.388'W","21°C, Cloudy ",96,89,93,95,,8.7,1990,32,N,3
Boisé-de-Saint-Sulpice,FOR4-HIGH03,06/08/2022,"IR, MP, EP, KHT",Leaf litter,"shrub, overstory, understory",Forested ,"45°33.329'N, 073°38.330'W",18°C,91,81,95,95,,8.7,1990,32,N,3
Boisé-de-Saint-Sulpice,FOR4-HIGH04,08/18/2022,"EP,LG","vegetated, dirt path, leaf litter ","shrub, overstory, understory",Forested,"45°33.246'N, 073°38.437'W","22°C, Cloudy ",91,92,90,87,,8.7,1990,32,N,3
Boisé-de-Saint-Sulpice,FOR4-LOW01,08/18/2022,"EP,LG",Grass,"shrub, overstory",Forested ,"45°33.178'N, 073°38.360'W","22°C, Cloudy ",12,12,0,26,,8.7,1990,32,N,2
Boisé-de-Saint-Sulpice,FOR4-LOW02,08/18/2022,"EP,LG","Grass, vegetated","shrub, overstory",Forested,"45°33.182'N, 073°38.400'W","22°C, Cloudy ",30,0,2,17,,8.7,1990,32,N,2
Boisé-de-Saint-Sulpice,FOR4-LOW04,08/18/2022,"EP,LG","Tall grass, shrubs, leaf litter ","shrub, overstory, understory",Forested ,"45°33.196'N, 073°38.343'W","22°C, Rainy",20,2,9,12,,8.7,1990,32,N,3
Boisé-de-Saint-Sulpice,FOR4-MED01,08/18/2022,"EP,LG","vegetated, dirt path, bare soil ","shrub, overstory, understory",Forested ,"45°33.200'N, 073°38.445'W","21°C, Cloudy ",28,2,24,18,,8.7,1990,32,N,3
Boisé-de-Saint-Sulpice,FOR4-MED02,08/18/2022,"EP,LG","Soil, leaf litter, detritus ","shrub, overstory, understory",Forested ,"45°33.337'N, 073°38.370'W","21°C, Cloudy ",82,77,79,84,,8.7,1990,32,N,3
Boisé-de-Saint-Sulpice,FOR4-MED05,08/18/2022,"EP,LG","grass, vegetated, dirt path ","shrub, overstory, understory",Forested ,"45°33.231'N, 073°38.326'W","21°C, Cloudy ",19,82,31,10,,8.7,1990,32,N,3
Cap-Saint-Jacques,FOR5-HIGH02,08/02/2022,"EP,LG,IR","Leaf Litter, herbaceous vegetation ","shrub, overstory, understory",Forested,"45°27.929'N, 073°55.817'W","26°C, Overcast ",92,96,90,93,,7.6,1985,37,Y,3
Cap-Saint-Jacques,FOR5-HIGH03,07/29/2022,"GG, LG, IR","leaf litter, bare soil, berbaceous vegetation","shrub, overstory, understory",Forested ,"45°28.092'N, 073°55.571'W","24°C, Sunny ",93,92,85,95,,7.6,1985,37,Y,3
Cap-Saint-Jacques,FOR5-HIGH05,07/29/2022,"GG, LG, IR","Leaf litter, dirt path, herbaceous vegetation ","overstory, understory",Forested,"45°28.077 N, 073°55.882'W","21°C, Sunny ",96,90,92,94,,7.6,1985,37,Y,2
Cap-Saint-Jacques,FOR5-LOW01,08/02/2022,"EP,LG,IR",Herbaceous vegetation ,"shrub, overstory, understory",Forested ,"45°28.042'N, 073°55.572'W","27°C, Sunny ",0,0,12,0,,7.6,1985,37,Y,3
Cap-Saint-Jacques,FOR5-LOW02,07/29/2022,"GG, LG, IR",herbaceous vegetation ,"shrub, overstory, understory",Forested,"45°28.136'N, 073°55.877'W","23°C, Sunny ",26,36,8,14,,7.6,1985,37,Y,3
Cap-Saint-Jacques,FOR5-MED01,08/02/2022,"EP,LG,IR",Herbaceous vegetation ,"shrub, overstory, understory",Forested ,"45°28.032'N, 073°55.591'W","27°C, Overcast ",85,30,59,93,,7.6,1985,37,Y,3
Cap-Saint-Jacques,FOR5-MED02,07/29/2022,"GG, LG, IR","Leaf litter, herbaceous vegetation ","shrub, overstory, understory",Forested ,"45°28.144'N, 073°55.796'W","21°C, Sunny ",83,93,92,80,,7.6,1985,37,Y,3
Cap-Saint-Jacques,FOR5-MED04,08/02/2022,"EP,LG,IR","herbaceous vegetation, bare soil ","shrub, overstory, understory",Forested,"45°28.020'N, 073°55.625","27°C, Overcast ",89,89,87,89,,7.6,1985,37,Y,3
Coulée-Grou,FOR6-HIGH01,06/22/2022,"EP,MP,IR","herbaceous , soil ","shrub, overstory, understory",Forested,"45°41.934'N, 073°30.284'W","19°C, overcast ",89,75,93,94,,25,1988,34,N,3
Coulée-Grou,FOR6-HIGH02,07/04/2022,"EP,IR,LG,MP,AT",herbaceous vegetation ,overstory,Forested ,"45°41.400'N, 073°29.946'W","24°C, sunny ",96,94,94,94,,25,1988,34,N,1
Coulée-Grou,FOR6-HIGH03,07/04/2022,"EP,IR,LG,MP,AT","vegetation, bare soil ","shrub, overstory, understory",Forested,"45°41.655'N, 073°30.115'W","21°C, sunny ",84,95,93,94,,25,1988,34,N,3
Coulée-Grou,FOR6-LOW02,07/04/2022,"EP,IR,LG,MP,AT",herbaceous vegetation ,overstory,Forested,"45°41.457'N, 073°30.014'W","24°C, sunny ",30,20,96,2,,25,1988,34,N,1
Coulée-Grou,FOR6-LOW03,07/04/2022,"EP,IR,LG,MP,AT","grass,gravel path, vegetation ","overstory, understory",Forested,"45°41.063'N, 073°30.022'W","25°C, sunny ",14,95,9,5,,25,1988,34,N,2
Coulée-Grou,FOR6-LOW05,07/04/2022,"EP,IR,LG,MP,AT","vegetation, herbaceous ",overstory,Forested,"45°41.573'N, 073°30.102'W","22°C, sunny ",39,7,42,37,,25,1988,34,N,1
Coulée-Grou,FOR6-MED01,07/04/2022,"EP,IR,LG,MP,AT","vegetated, medow, phragmites","shrub, overstory",Forested ,"45°41.684'N, 073°30.157'W","21°C, sunny ",76,95,94,80,,25,1988,34,N,2
Coulée-Grou,FOR6-MED03,06/22/2022,"EP,MP,IR","herbaceou, bare soil","shrub, overstory, understory",Forested ,"45°41.959'N, 073°30.363'W","19°C, overcast ",42,89,44,96,,25,1988,34,N,3
Coulée-Grou,FOR6-MED05,06/22/2022,"EP,MP,IR","cement path, grass, herbaceous ","shrub, overstory, understory",Forested ,"45°41.892'N, 073°30.357'W","19°C, overcast ",62,87,95,31,,25,1988,34,N,3
Île-Bizard,FOR7-HIGH01,07/20/2022,"EP, IR","Leaf litter, bare soil, gravel path ","overstory, understory",Forested ,"45°30.650N, 073°52.312'W","25°C, Sunny ",95,90,92,95,,45,1991,31,Y,2
Île-Bizard,FOR7-HIGH04,07/20/2022,"EP, IR","Herbaceous vegetation, Stone, Leaf litter","shrub, overstory, understory",Forested ,"45°30.663'N, 073°52.261'W","26°C, Overcast ",92,95,93,92,,45,1991,31,Y,3
Île-Bizard,FOR7-HIGH05,07/20/2022,"EP, IR",Herbaceous vegetation ,"shrub, overstory, understory",Forested ,"45°30.470'N, 073°52.550'W","25°C, Sunny ",93,95,95,94,,45,1991,31,Y,3
Île-Bizard,FOR7-LOW03,07/20/2022,"EP, IR",Herbaceous veg,"shrub, overstory, understory",Forested ,"45°30.932'N, 073°53.413'W","32°C, Sunny ",2,14,36,19,,45,1991,31,Y,3
Île-Bizard,FOR7-LOW06,07/20/2022,"EP, IR",Herbaceous vegetation ,"shrub, overstory, understory",Forested ,"45°30.835'N, 073°53.572'W","27°C, Sunny ",2,29,4,0,,45,1991,31,Y,3
Île-Bizard,FOR7-LOW07,07/20/2022,"EP, IR",Herbaceous vegetation ,"shrub, overstory, understory",Forested ,"45°30.861'N, 073°55.460'W","30°C, Sunny ",0,17,3,0,,45,1991,31,Y,3
Île-Bizard,FOR7-MED06,07/22/2022,"LG, AT, IR",herbaceous vegetation,"shrub, overstory, understory",Forested,"45°30.848'N, 073°53.506'W","27°C, Sunny ",,,,,,45,1991,31,Y,3
Jean-Drapeau,FOR8-HIGH02,08/05/2022,"EP, LG, IR",Grass,overstory,Forested,"45°30.852'N, 073°32.011'W","22°C, Sunny ",84,92,69,91,,18.5,1908,114,N,1
Jean-Drapeau,FOR8-HIGH04,08/05/2022,"EP, LG, IR","Bare soil, leaf litter, grass, cement path","shrub, overstory, understory",Forested ,"45°30.994'N, 073°31.934'W","22°C, Sunny",95,95,93,96,,18.5,1908,114,N,3
Jean-Drapeau,FOR8-LOW02,08/05/2022,"EP, IR, LG","Grass, mulch ",overstory,Forested ,"45°31.013'N, 073°32.136'W","21°C, Sunny ",44,19,34,70,,18.5,1908,114,N,1
Jean-Drapeau,FOR8-LOW03,08/05/2022,"EP, IR, LG","Grass, mulch ",overstory,Forested ,"45°31.110'W, 073°32.098'W","21°C, Sunny ",38,41,31,27,,18.5,1908,114,N,1
Jean-Drapeau,FOR8-MED01,08/05/2022,"EP, IR, LG","Grass, gravel path, mulch ",overstory,Forested ,"45°31.111'N, 073°31.942'W","22°C, Sunny ",40,71,76,76,,18.5,1908,114,N,1
Jean-Drapeau,FOR8-MED02,08/05/2022,"EP, LG, IR","Grass, bare soil, leaf litter","shrub, overstory, understory",Forested ,"45°30.856'N, 073°31.962'W","22°C, Sunny ",86,61,87,69,,18.5,1908,114,N,3
Jean-Drapeau,FOR8-MED03,08/05/2022,"EP, LG, IR",Grass,overstory,Forested ,"45°30.822'N, 073°31.988'W","22°C, Sunny ",91,81,78,93,,18.5,1908,114,N,1
Jean-Drapeau,FOR8-MED03,08/05/2022,"EP, IR, LG","Bare soil, cement path, leaf litter, herbaceous vegetation ","shrub, overstory, understory",Forested ,"45°31.027'N, 073°32.076'W","21°C, Sunny ",92,94,93,93,,18.5,1908,114,N,3
L'Anse-à-l'Orme,FOR9-HIGH01,07/25/2022,"IR,EP,LG","Leaf litter, herbaceous vegation ","shrub, overstory, understory",Forested ,"45°26.697'N, 073°54.754'W","25°C, Sunny",94,93,93,95,,26,1987,35,Y,3
L'Anse-à-l'Orme,FOR9-HIGH02,07/25/2022,"IR,EP,LG","Leaf litter, dirt path, herbaceous vegetation ","shrub, overstory, understory",Forested ,"45°26.838'N, 073°54.476","26°C, Sunny ",94,92,96,94,,26,1987,35,Y,3
L'Anse-à-l'Orme,FOR9-HIGH03,07/25/2022,"IR,EP,LG",Leaf litter ,"shrub, overstory, understory",Forested ,"45°26.379'N, 073°54.507'W",25°C,96,94,96,93,,26,1987,35,Y,3
L'Anse-à-l'Orme,FOR9-LOW01,07/25/2022,"IR,EP,LG","Cement path, herbaceous vegetation","shrub, overstory, understory",Forested ,"45°26.432'N, 073°54.474'W","24°C, Sunny ",19,56,4,3,,26,1987,35,Y,3
L'Anse-à-l'Orme,FOR9-LOW02,07/25/2022,"EP, LG, IR",herbaceous vegetation,"shrub, overstory, understory",Forested,"45°26.970'N, 073°54.561'W","26°C, Sunny ",37,94,15,42,,26,1987,35,Y,3
L'Anse-à-l'Orme,FOR9-LOW04,07/25/2022,"IR,EP,LG","Cement path, herbaceous vegetation","shrub, overstory, understory",Forested,"45°26.474'N, 073°54.353'W","24°C, Sunny ",14,96,66,67,,26,1987,35,Y,3
L'Anse-à-l'Orme,FOR9-MED01,07/25/2022,"IR,EP,LG","Herbaceous vegetation, leaf litter","shrub, overstory, understory",Forested ,"45°26.350'N,073°54.238'W","26°C, Sunny",5,2,70,27,,26,1987,35,Y,3
L'Anse-à-l'Orme,FOR9-MED02,07/25/2022,"IR,EP,LG","Bare soil, woody detrius ","shrub, overstory, understory",Forested ,"45°26.502'N, 073°54.309'W","21°C, Sunny ",86,89,83,94,,26,1987,35,Y,3
L'Anse-à-l'Orme,FOR9-MED03,07/25/2022,"IR,EP,LG","Cement path, herbaceous vegetation, Leaf litter ","shrub, overstory, understory",Forested ,"45°26.458'N, 073°54.385'W","24°C, Sunny ",18,94,92,75,,26,1987,35,Y,3
Adrien-D-Archambault,IND1-HIGH01,07/06/2022,"EP, LG, AT, MP, IR","bare soil, leaf litter, dirt path, herbaceous vegetation","shrub, overstory, understory",Industrial,"45°27.434'N, 073°33.433'W","20°C, Sunny",59,92,96,95,,,,,,
Adrien-D-Archambault,IND1-HIGH02,07/06/2022,"LG, EP, AT, MP, IR","herbaceous vegetation, gravel path, dirt path","shrub, overstory, understory",Industrial,"45°27.406'W, 073°33.505'W","23°C, Sunny",96,96,95,95,,,,,,
Adrien-D-Archambault,IND1-HIGH03,07/06/2022,"LG, EP, AT, MP, IR","bare soil, leaf litter, herbaceous vegetation","shrub, overstory, understory",Industrial,"45°27.436'N, 073°33.464'W","2°C, Sunny ",92,96,96,94,,,,,,
Adrien-D-Archambault,IND1-LOW01,07/06/2022,"EP, LG, AT, MP, IR","Grass, herbaceous vegetation, gravel path ",overstory,Industrial,"45°27.419'N, 073°33.419'W","20°C, Sunny",28,11,92,4,,,,,,
Adrien-D-Archambault,IND1-LOW02,07/06/2022,"EP, LG, AT, MP, IR","gravel path, herbaceous vegetation, grass",overstory,Industrial,"45°27.417'N, 073°33.461'W","22°C, Sunny",28,0,73,29,cut off by community garden,,,,,
Adrien-D-Archambault,IND1-LOW04,07/06/2022,"LG, EP, AT, MP, IR","gravel path, grass, herbaceous vegetation","shrub, overstory, understory",Industrial,"45°27.379'N, 073°33.578'W","24°C, Sunny",11,4,7,43,,,,,,
Adrien-D-Archambault,IND1-MED01,07/06/2022,"LG, EP, AT, MP, IR","gravel path, herbaceous vegetation, bare soil","shrub, overstory",Industrial,"45°27.421'N, 073°33.493'W","23°C, Sunny",95,93,93,96,,,,,,
Adrien-D-Archambault,IND1-MED02,07/06/2022,"EP, LG, AT, MP, IR","cement, herbaceous vegetation, leaf litter, bare soil","shrub, overstory, understory",Industrial,"45°27.304'N, 073°33.540'W","24°C, Sunny",95,63,96,96,,,,,,
Adrien-D-Archambault,IND1-MED03,07/06/2022,"EP, LG, AT, IR, MP","herbaceous vegetation, phragmites, bare soil","shrub, overstory",Industrial,"45°27.330'W, 073°33.537'W","24°C, Sunny",94,12,8,94,,,,,,
Père-Marquette,IND11-HIGH03,06/20/2022,"EP,IR,MP","grass, cement path ",overstory,Industrial,"45°32.363'N, 073°35.422'W","20°C, sunny ",86,95,92,88,,,,,,
Père-Marquette,IND11-HIGH04,06/20/2022,"EP,IR,MP","grass, cement path ",overstory,Industrial,"45°32.343'N, 073°35.379'W°","20°C, sunny ",85,87,96,91,,,,,,
Père-Marquette,IND11-HIGH05,06/20/2022,"EP,IR,MP","grass, concert path ",overstory,Industrial,"45°32.285'N, 073°35.718'W","20°C, sunny ",29,96,93,90,,,,,,
Père-Marquette,IND11-LOW01,06/20/2022,"EP,IR,MP","cement path, grass, herbaceous ",overstory,Industrial,"45°32.286'N, 073°35.633'W","20°C, sunny ",0,95,0,27,,,,,,
Père-Marquette,IND11-LOW03,06/20/2022,"EP,IR,MP",grass (baseball diamond),overstory,Industrial,,"20°C, sunny",0,1,0,17,,,,,,
Père-Marquette,IND11-LOW04,06/20/2022,"EP,IR,MP","grass, dirt path",overstory,Industrial,"45°32.491'N, 073°35.704'W","18°C, sunny ",55,0,8,92,,,,,,
Père-Marquette,IND11-MED04,06/20/2022,"EP,IR,MP","grass, cement path ",overstory,Industrial,"45°32.377'N, 073°35.492'W","20°C, sunny ",90,94,24,85,,,,,,
Père-Marquette,IND11-MED05,06/20/2022,"EP,IR,MP","grass, concert path",overstory,Industrial,"45°32.316'N, 073°35.753'W","19°C,sunny ",72,0,0,67,,,,,,
Père-Marquette,IND11-MED06,06/20/2022,"EP,IR,MP","grass, cenment path ",overstory,Industrial,"45°32.349'N, 073°35.521'W","20°C, sunny ",95,95,87,89,,,,,,
Pointe-aux-Prairies,IND12-HIGH01,07/18/2022,"EP, LG, IR","Leaf litter, bare soil, herbaceous vegetation ","overstory, understory",Industrial,,"25°C, Overcast",93,93,95,95,,,,,,
Pointe-aux-Prairies,IND12-HIGH03,07/19/2022,"EP, LG, IR","bare soil, leaf litter, herbaceous vegetation","shrub, overstory, understory",Industrial,,"24°C, Sunny",92,86,93,94,,,,,,
Pointe-aux-Prairies,IND12-HIGH05,07/22/2022,"EP, LG, IR","Leaf litter, bare soil, herbaceous vegetation ","shrub, overstory, understory",Industrial,,"25°C, Raining",95,92,95,95,,,,,,
Pointe-aux-Prairies,IND12-LOW02,07/18/2022,"LG, EP, IR","Herbaceous vegetation, gravel path ","shrub, overstory, understory",Industrial ,,"24°C, Sunny",96,1,18,4,,,,,,
Pointe-aux-Prairies,IND12-LOW04,07/18/2022,"LG, EP, IR",herbaceous vegetation,"shrub, overstory, understory",Industrial,,"25°C, Overcast",0,28,3,0,,,,,,
Pointe-aux-Prairies,IND12-LOW05,07/18/2022,"LG, EP, IR",herbaceous vegetation,shrub,Industrial,,"25°C, Overcast",0,0,8,0,,,,,,
Pointe-aux-Prairies,IND12-MED01,07/19/2022,"EP, LG, IR","herbaceous vegetation, gravel path, leaf litter, bare soil","shrub, overstory, understory",Industrial,,"22°C, Sunny",94,12,0,94,,,,,,
Pointe-aux-Prairies,IND12-MED03,07/19/2022,"LG, EP, IR","herbaceous vegetation, leaf litter, bare soil","shrub, overstory, understory",Industrial,,"25°C, Sunny",89,93,95,81,,,,,,
Pointe-aux-Prairies,IND12-MED05,07/18/2022,"EP, LG, IR","bare soil, herbaceous vegetation","shrub, overstory, understory",Industrial,,"25°C, Overcast",92,95,95,93,,,,,,
Promenade-Bellerive,IND13-HIGH06,08/16/2022,"EP, AT, LG","Grass, bare soil","overstory, understory",Industrial,"45°36.296'N, 073°30.574'W","26°C, Sunny ",87,89,95,90,,,,,,
Promenade-Bellerive,IND13-LOW02,08/16/2022,"EP, AT, LG","Grass, gravel path","shrub, overstory",Industrial,"45°35.637'N, 073°30.478'W","26°C, Sunny ",26,0,0,0,,,,,,
Promenade-Bellerive,IND13-LOW03,08/16/2022,"EP, AT, LG","Grass, gravel path",overstory,Industrial,"45°36.014'N, 073°30.596'W","26°C, Sunny ",15,0,2,0,,,,,,
Promenade-Bellerive,IND13-LOW04,08/16/2022,"EP, AT, LG",Grass,overstory,Industrial,"45°36.087'N, 073°30.618'W","26°C, Sunny ",0,4,0,15,,,,,,
Promenade-Bellerive,IND13-MED01,08/16/2022,"EP, AT, LG",Grass,overstory,Industrial,"45°35.956'N, 073°30.614'W","27°C, Sunny ",20,65,0,61,,,,,,
Promenade-Bellerive,IND13-MED02,08/16/2022,"EP, AT, LG",Grass,overstory,Industrial,"45°36.219'N, 073°30.608'W","26°C, Sunny ",73,94,1,0,,,,,,
Promenade-Bellerive,IND13-MED04,08/16/2022,"EP, AT, LG",,"shrub, overstory",Industrial,"45°35.547'N, 073°30.471'W","26°C, Sunny ",79,28,52,82,,,,,,
Arthur-Therrien,IND2-HIGH04,08/17/2022,"LG, EP","dirt path, bare soil, leaf litter","shrub, overstory, understory",Industrial,"45°28.039'N, 073°33.588'W","20°C, Cloudy",96,89,90,95,,,,,,
Arthur-Therrien,IND2-HIGH06,08/17/2022,"LG, EP","leaf litter, bare soil, dirt path","shrub, overstory, understory",Industrial,"45°28.010'N, 073°33.587'W","22°C, Cloudy",93,92,96,94,,,,,,
Arthur-Therrien,IND2-HIGH07,08/17/2022,"LG, EP","Grass, bare soil",overstory,Industrial,"45°28.158'N, 073°33.608'W","19°C, Cloudy",76,89,91,83,,,,,,
Arthur-Therrien,IND2-LOW01,08/17/2022,"LG, EP","grass, bare soil path, cement path",overstory,Industrial,"45°27.870'N, 073°33.632'W","24°C, Sunny ",0,6,0,54,,,,,,
Arthur-Therrien,IND2-LOW02,08/17/2022,"LG, EP",grass,overstory,Industrial,"45°27.825'N, 073°33.694'W","24°C, Sunny ",0,2,0,8,,,,,,
Arthur-Therrien,IND2-LOW04,08/17/2022,"LG, EP","grass, cement path","shrub, overstory",Industrial,"45°27.838'N, 073°33.633'W","24°C, Sunny ",3,7,0,22,,,,,,
Arthur-Therrien,IND2-MED04,08/17/2022,"LG, EP",grass,"overstory, understory",Industrial,"45°27.953'N, 073°33.636'W","22°C, Cloudy ",84,20,76,61,,,,,,
Arthur-Therrien,IND2-MED06,08/17/2022,"LG, EP","Wood chips, grass, bare soil","overstory, understory",Industrial,"45°28.121'N, 073°33.567'W","19°C, Cloudy",72,78,74,66,,,,,,
Arthur-Therrien,IND2-MED07,08/17/2022,"LG, EP","grass, leaf litter, bare soil, cement path","shrub, overstory, understory",Industrial,,"24°C, Sunny ",40,73,83,14,,,,,,
Baldwin ,IND3-HIGH01,06/29/2022,"IR,EP,MP,LG","grass, dirt path ",overstory,Industrial,"45°32.056'N, 073°33.776'W","23°C, Sunny ",61,90,96,72,,,,,,
Baldwin ,IND3-HIGH03 ,06/29/2022,"IR,EP,MP,LG","grass, dirt path",overstory,Industrial,"45°32.049'N, 073°33.745'W ","23°C, Sunny ",96,25,5,67,,,,,,
Baldwin ,IND3-HIGH05 ,06/29/2022,"IR,EP,MP,LG","grass, cement, dirt path",overstory,Industrial,"45°32.081'N, 073°33.730'W","23°C, Sunny ",8,88,74,74,Some overlap on Soth end ,,,,,
Baldwin ,IND3-LOW01 ,06/29/2022,"IR,EP,MP,LG","grass, dirt path ",overstory,Industrial,"45°32.072'N, 073°33.779' W","23°C, Sunny ",92,79,26,40,,,,,,
Baldwin ,IND3-LOW02 ,06/29/2022,"IR,EP,MP,LG","grass, dirt path",overstory,Industrial,"45°32.107'N, 073°33.739'W","23°C, Sunny ",0,64,0,73,,,,,,
Baldwin ,IND3-MED01,06/29/2022,"IR,EP,MP,LG","grass, dirt path ",overstory,Industrial,"45°32.063'N, 073°775' W","23°C, Sunny ",4,80,55,2,A little bit of overlap ,,,,,
Baldwin ,IND3-MED02,06/29/2022,"IR,EP,MP,LG","grass, dirt path",overstory,Industrial,"45°32.069'N, 073°33.732'W ","23°C, Sunny ",80,75,50,9,,,,,,
Baldwin ,IND3-MED05,06/29/2022,"IR,EP,MP,LG","bare soil, grass, dirt path ",overstory,Industrial,"45°32.105'N, 073°761'W","23°C, Sunny ",33,78,83,54,bit of overlap on east side with low point ,,,,,
Félix-Leclerc,IND5-HIGH01,08/10/2022,"EP, LG, IR","Leaf litter, bare soil, grass","overstory, understory",Industrial,"45°35.460'N, 073°33.723'W","19°C, Sunny",63,91,90,95,,,,,,
Félix-Leclerc,IND5-HIGH04,08/10/2022,"EP, LG, IR","Leaf litter, bare soil, herbaceous vegetation","shrub, overstory, understory",Industrial,"45°33.344'N, 073°33.659'W","20°C, Sunny",69,90,95,94,,,,,,
Félix-Leclerc,IND5-HIGH06,08/10/2022,"EP, LG, IR","Leaf litter, bare soil, grass","shrub, overstory, understory",Industrial,"45°35.435'N, 073°33.679'W","19°C, Sunny",94,95,83,94,,,,,,
Félix-Leclerc,IND5-LOW01,08/10/2022,"EP, LG, IR","Grass, cement path",overstory,Industrial,"45°35.509'N, 073°33.997'W","20°C, Sunny",45,4,56,3,,,,,,
Félix-Leclerc,IND5-LOW03,08/10/2022,"EP, LG, IR","Grass, cement path",overstory,Industrial,"45°35.352'N, 073°33.700'W","20°C, Sunny",15,0,12,0,,,,,,
Félix-Leclerc,IND5-LOW05,08/10/2022,"EP, LG, IR","Grass, cement path",overstory,Industrial,"45°35.386'N, 073°33.835'W","20°C, Cloudy",0,9,1,0,,,,,,
Félix-Leclerc,IND5-MED01,08/10/2022,"EP, LG, IR",Grass,overstory,Industrial,"45°35.422'N, 073°33.994'W","20°C, Sunny",57,40,0,,,,,,,
Félix-Leclerc,IND5-MED03,08/10/2022,"EP, LG, IR","Grass, cement path","overstory, understory",Industrial,"45°35.396'N, 073°33.614'W","20°C, Sunny",87,0,29,24,,,,,,
Félix-Leclerc,IND5-MED04,08/10/2022,"EP, LG, IR","Cement path, grass, soil, leaf litter","shrub, overstory, understory",Industrial,"45°35.390'N, 073°33.646'W","20°C, Sunny",86,25,4,67,,,,,,
Frédéric-Back,IND6-HIGH01,08/11/2022,"EP, LG, IR","Grass, herbaceous vegetation, gravel path",overstory,Industrial,"45°33.843'N, 073°37.176'W","20°C, Sunny",95,90,85,94,,,,,,
Frédéric-Back,IND6-HIGH03,08/11/2022,"EP, LG, IR","Herbaceous vegetation, leaf litter, bare soil","shrub, overstory, understory",Industrial,"45°33.693'N, 073°37.137'W","19°C, Cloudy",88,80,92,90,,,,,,
Frédéric-Back,IND6-LOW01,08/11/2022,"EP, LG, IR","Herbaceous vegetation, gravel path",overstory,Industrial,"45°33.875'N, 073°37.48'W","20°C, Sunny",8,0,7,0,,,,,,
Frédéric-Back,IND6-LOW03,08/11/2022,"EP, LG, IR","Herbaceous vegetation, gravel path, mulch",overstory,Industrial,"45°33.812'N, 073°37.137'W","20°C, Sunny",0,50,25,0,,,,,,
Frédéric-Back,IND6-LOW05,08/11/2022,"EP, LG, IR","Herbaceous vegetation, gravel path",overstory,Industrial,"45°33.837'N, 073°37.429'W","20°C, Sunny",4,0,41,2,,,,,,
Frédéric-Back,IND6-MED01,08/11/2022,"EP, LG, IR","Herbaceous vegetation, gravel path",overstory,Industrial,"45°33.793'N, 073°37.166'W","20°C, Sunny",6,68,90,3,,,,,,
Frédéric-Back,IND6-MED02,08/11/2022,"EP, LG, IR","Herbaceous vegetation, sidewalk",overstory,Industrial,"45°33.814'N, 073°37.110'W","20°C, Sunny",86,76,90,4,,,,,,
Frédéric-Back,IND6-MED03,08/11/2022,"EP, LG, IR","Grass, cement path",overstory,Industrial,"45°33.618'N, 073°36.964'W","20°C, Sunny",88,85,88,95,,,,,,
Botanical Gardens ,IND7-HIGH02 ,06/29/2022,"IR,EP,LG","grass, leaf litter, cement ","shrub, overstory",Industrial,"45°33.789'N, 073°34.272'W","24°C, sunny ",89,93,91,85,,,,,,
Botanical Gardens ,IND7-HIGH04,06/29/2022,"IR,EP,LG","grass, dirt path ",overstory,Industrial,"45°33.728'N, 073°34.178'W","24°C, overcast ",95,93,96,96,,,,,,
Botanical Gardens ,IND7-HIGH05 ,06/29/2022,"IR,EP,LG","grass, dirt, leaf litter ","shrub, overstory",Industrial,"45°33.759'N, 073°34.294'W",24°C sunny ,87,92,89,86,,,,,,
Botanical Gardens ,IND7-LOW01,06/29/2022,"IR,EP,LG","grass, dirt path ",overstory,Industrial,"45°33.777'N, 073°34.208'W","22°C, raining ",3,4,9,4,,,,,,
Botanical Gardens ,IND7-LOW03,06/29/2022,"IR,EP,LG","grass, dirt path ",overstory,Industrial,"45°33.805'N, 073°34.216'W","22°C, overcast ",9,1,69,16,,,,,,
